,119.0,119.5,120.0,120.5,121.0,121.5,122.0,122.5,123.0,123.5,124.0,124.5,125.0,125.5,126.0,126.5,127.0,127.5,128.0,128.5,129.0,129.5,130.0,130.5,131.0,131.5,132.0,132.5,133.0,133.5,134.0,134.5,135.0,135.5,136.0,136.5,137.0,137.5,138.0,138.5,139.0,139.5,140.0,140.5,141.0,141.5,142.0
22.0,-6.30622,-6.96622,-7.74622,-6.33622,-4.42622,-3.4762199999999996,-4.0662199999999995,-4.83622,-5.20622,-4.486219999999999,-4.75622,-5.826219999999999,-5.8562199999999995,-5.99622,-5.50622,-5.736219999999999,-6.196219999999999,-6.156219999999999,-4.97622,-4.63622,-5.05622,-5.26622,-4.3162199999999995,-4.486219999999999,-4.22622,-4.0662199999999995,-4.04622,-3.9362199999999996,-4.00622,-4.09622,-3.1562200000000002,-2.76622,-2.56622,-2.96622,-2.76622,-3.65622,-3.8162199999999995,-3.5162199999999997,-3.92622,-4.156219999999999,-4.25622,-3.6062199999999995,-3.5862199999999995,-4.59622,-5.26622,-5.1062199999999995,-5.12622
22.5,-2.54622,-4.34622,-3.8662199999999998,-1.24622,0.323777,-1.71622,-3.26622,-4.80622,-4.29622,-4.01622,-4.946219999999999,-5.12622,-5.116219999999999,-5.63622,-5.78622,-6.21622,-5.70622,-5.3162199999999995,-5.14622,-5.08622,-4.84622,-5.03622,-4.08622,-3.50622,-3.09622,-4.13622,-3.65622,-3.3162199999999995,-3.3562199999999995,-2.95622,-2.79622,-3.05622,-3.08622,-2.68622,-3.7462199999999997,-3.4562199999999996,-3.08622,-2.06622,-3.3162199999999995,-4.28622,-3.7262199999999996,-3.26622,-3.7462199999999997,-5.946219999999999,-5.03622,-4.8562199999999995,-4.96622
23.0,0.503777,2.81378,0.0437769,-0.756223,0.46377700000000005,0.623777,-1.44622,-3.44622,-3.5862199999999995,-3.7062199999999996,-4.156219999999999,-5.21622,-5.156219999999999,-5.946219999999999,-5.906219999999999,-6.20622,-5.7762199999999995,-5.18622,-4.59622,-4.84622,-4.24622,-4.74622,-4.21622,-2.96622,-3.6062199999999995,-3.94622,-3.1962200000000003,-3.4762199999999996,-3.11622,-2.47622,-3.12622,-3.1962200000000003,-3.6662199999999996,-3.24622,-2.70622,-2.99622,-2.9462200000000003,-3.5862199999999995,-4.05622,-3.88622,-2.57622,-4.5662199999999995,-5.47622,-5.05622,-4.76622,-4.14622,-4.03622
23.5,2.38378,2.65378,0.293777,0.5537770000000001,0.273777,1.1837799999999998,-0.516223,-1.91622,-2.80622,-3.5862199999999995,-3.5962199999999998,-4.79622,-5.64622,-5.88622,-5.80622,-5.26622,-5.406219999999999,-4.7762199999999995,-4.30622,-4.116219999999999,-3.4562199999999996,-3.88622,-3.46622,-4.1062199999999995,-4.01622,-3.5162199999999997,-2.4262200000000003,-3.25622,-2.97622,-2.71622,-3.3662199999999998,-3.77622,-3.5562199999999997,-3.23622,-3.1562200000000002,-3.6862199999999996,-4.20622,-3.5362199999999997,-3.05622,-4.28622,-4.97622,-5.30622,-4.8562199999999995,-4.41622,-3.73622,-3.48622,-4.16622
24.0,3.23378,3.17378,0.733777,0.653777,-1.58622,0.763777,0.47377700000000006,-1.45622,-2.05622,-2.68622,-3.5662199999999995,-4.47622,-4.8162199999999995,-5.08622,-4.696219999999999,-4.46622,-4.42622,-4.17622,-3.8962199999999996,-3.50622,-3.04622,-3.2862199999999997,-3.69622,-3.88622,-3.4962199999999997,-3.04622,-2.9462200000000003,-3.3062199999999997,-3.3462199999999998,-2.93622,-4.1062199999999995,-3.8462199999999998,-3.14622,-3.25622,-3.16622,-3.4762199999999996,-4.62622,-4.41622,-4.24622,-4.29622,-4.7762199999999995,-4.71622,-4.24622,-3.6862199999999996,-3.25622,-3.5962199999999998,-3.48622
24.5,4.04378,3.8537800000000004,2.13378,1.00378,-0.916223,0.9137770000000001,0.5337770000000001,-1.43622,-2.1362200000000002,-2.22622,-2.80622,-2.98622,-3.6662199999999996,-3.8762199999999996,-4.01622,-3.75622,-3.5962199999999998,-3.9762199999999996,-3.5562199999999997,-3.07622,-3.1962200000000003,-3.3062199999999997,-3.73622,-3.7262199999999996,-3.22622,-2.87622,-2.62622,-3.21622,-3.3062199999999997,-3.54622,-3.63622,-2.97622,-3.3062199999999997,-3.6462199999999996,-3.3062199999999997,-3.46622,-3.4762199999999996,-4.486219999999999,-4.54622,-4.24622,-4.51622,-4.09622,-3.6862199999999996,-3.1762200000000003,-3.06622,-2.59622,-2.51622
25.0,5.03378,4.8937800000000005,3.14378,1.51378,2.64378,-0.536223,0.0237769,-1.97622,-2.25622,-2.46622,-2.34622,-2.04622,-2.35622,-3.5862199999999995,-3.8262199999999997,-2.55622,-2.6362200000000002,-3.4562199999999996,-2.99622,-2.46622,-2.73622,-2.82622,-3.18622,-3.2862199999999997,-3.08622,-3.11622,-3.40622,-3.3462199999999998,-3.4762199999999996,-2.99622,-3.2862199999999997,-3.07622,-3.8162199999999995,-4.13622,-3.9162199999999996,-3.7262199999999996,-4.78622,-5.24622,-4.72622,-4.12622,-3.6862199999999996,-3.18622,-2.6562200000000002,-2.25622,-2.03622,-1.90622,-1.5262200000000001
25.5,1.64378,5.07378,4.013780000000001,1.59378,1.34378,-0.916223,-2.51622,-1.97622,-1.94622,-1.8162200000000002,-1.88622,-1.69622,-1.71622,-2.89622,-3.42622,-2.57622,-2.79622,-1.99622,-1.60622,-2.39622,-2.9062200000000002,-3.10622,-3.23622,-3.1362200000000002,-2.95622,-2.93622,-3.3562199999999995,-3.27622,-2.78622,-2.98622,-2.79622,-2.87622,-4.43622,-4.72622,-4.6062199999999995,-4.63622,-5.24622,-5.12622,-5.08622,-5.05622,-4.68622,-4.30622,-3.92622,-3.7262199999999996,-2.99622,-2.6762200000000003,-2.03622
26.0,0.9137770000000001,1.40378,3.6037800000000004,1.16378,-0.266223,-2.49622,-1.67622,-1.13622,-0.9262229999999999,-0.996223,-0.846223,-1.2862200000000001,-1.58622,-2.47622,-3.4562199999999996,-2.11622,-1.5662200000000002,-0.166223,-0.366223,-1.21622,-2.4462200000000003,-2.72622,-2.89622,-2.87622,-3.07622,-2.6962200000000003,-2.6562200000000002,-2.6362200000000002,-2.39622,-2.4062200000000002,-2.66622,-3.20622,-3.8362199999999995,-3.98622,-4.946219999999999,-5.92622,-6.20622,-5.76622,-5.366219999999999,-4.51622,-4.116219999999999,-4.09622,-3.79622,-2.85622,-2.30622,-1.3262200000000002,-1.22622
