,latitude,longitude,altitude,secondsFromStart,value
0,38.5,141.0,0.0010526315789473684,-231395.180274,-1.7913
1,38.5,141.5,0.0010526315789473684,-231395.180274,-4.8113
2,39.0,141.0,0.0010526315789473684,-231395.180274,0.438696
3,39.0,141.5,0.0010526315789473684,-231395.180274,-1.5813
4,38.5,141.0,0.001081081081081081,-231395.180274,-0.0244458
5,38.5,141.5,0.001081081081081081,-231395.180274,-2.71445
6,39.0,141.0,0.001081081081081081,-231395.180274,-0.694446
7,39.0,141.5,0.001081081081081081,-231395.180274,-2.80445
8,38.5,141.0,0.0010526315789473684,-220595.180274,0.770071
9,38.5,141.5,0.0010526315789473684,-220595.180274,2.25007
10,39.0,141.0,0.0010526315789473684,-220595.180274,-1.02993
11,39.0,141.5,0.0010526315789473684,-220595.180274,-1.85993
12,38.5,141.0,0.001081081081081081,-220595.180274,-0.784297
13,38.5,141.5,0.001081081081081081,-220595.180274,0.565703
14,39.0,141.0,0.001081081081081081,-220595.180274,-1.5743
15,39.0,141.5,0.001081081081081081,-220595.180274,-1.1143
