,latitude,longitude,altitude,secondsFromStart,value
0,37.5,140.5,0.0010526315789473684,-220595.180274,-1.54993
1,37.5,141.0,0.0010526315789473684,-220595.180274,-5.26993
2,38.0,140.5,0.0010526315789473684,-220595.180274,-0.999929
3,38.0,141.0,0.0010526315789473684,-220595.180274,0.410071
4,37.5,140.5,0.001081081081081081,-220595.180274,-2.9943
5,37.5,141.0,0.001081081081081081,-220595.180274,-5.3843
6,38.0,140.5,0.001081081081081081,-220595.180274,-0.104297
7,38.0,141.0,0.001081081081081081,-220595.180274,-0.494297
8,37.5,140.5,0.0010526315789473684,-209795.180274,6.15731
9,37.5,141.0,0.0010526315789473684,-209795.180274,3.69731
10,38.0,140.5,0.0010526315789473684,-209795.180274,-0.802686
11,38.0,141.0,0.0010526315789473684,-209795.180274,2.96731
12,37.5,140.5,0.001081081081081081,-209795.180274,5.31026
13,37.5,141.0,0.001081081081081081,-209795.180274,1.95026
14,38.0,140.5,0.001081081081081081,-209795.180274,0.410264
15,38.0,141.0,0.001081081081081081,-209795.180274,1.54026
