,latitude,longitude,altitude,secondsFromStart,value
0,37.5,140.5,0.001081081081081081,-231395.180274,-1.20445
1,37.5,141.0,0.001081081081081081,-231395.180274,-2.50445
2,38.0,140.5,0.001081081081081081,-231395.180274,-2.52445
3,38.0,141.0,0.001081081081081081,-231395.180274,-0.384446
4,37.5,140.5,0.0011111111111111111,-231395.180274,-1.78754
5,37.5,141.0,0.0011111111111111111,-231395.180274,-3.00754
6,38.0,140.5,0.0011111111111111111,-231395.180274,-1.75754
7,38.0,141.0,0.0011111111111111111,-231395.180274,0.392458
8,37.5,140.5,0.001081081081081081,-220595.180274,-2.9943
9,37.5,141.0,0.001081081081081081,-220595.180274,-5.3843
10,38.0,140.5,0.001081081081081081,-220595.180274,-0.104297
11,38.0,141.0,0.001081081081081081,-220595.180274,-0.494297
12,37.5,140.5,0.0011111111111111111,-220595.180274,-3.37207
13,37.5,141.0,0.0011111111111111111,-220595.180274,-4.7320699999999984
14,38.0,140.5,0.0011111111111111111,-220595.180274,-0.0720703
15,38.0,141.0,0.0011111111111111111,-220595.180274,-1.94207
