,latitude,longitude,altitude,secondsFromStart,value
0,37.5,141.0,0.001081081081081081,-231395.180274,-2.50445
1,37.5,141.5,0.001081081081081081,-231395.180274,-0.714446
2,38.0,141.0,0.001081081081081081,-231395.180274,-0.384446
3,38.0,141.5,0.001081081081081081,-231395.180274,-3.44445
4,37.5,141.0,0.0011111111111111111,-231395.180274,-3.00754
5,37.5,141.5,0.0011111111111111111,-231395.180274,-2.4975400000000003
6,38.0,141.0,0.0011111111111111111,-231395.180274,0.392458
7,38.0,141.5,0.0011111111111111111,-231395.180274,-3.37754
8,37.5,141.0,0.001081081081081081,-220595.180274,-5.3843
9,37.5,141.5,0.001081081081081081,-220595.180274,-2.2043
10,38.0,141.0,0.001081081081081081,-220595.180274,-0.494297
11,38.0,141.5,0.001081081081081081,-220595.180274,-0.414297
12,37.5,141.0,0.0011111111111111111,-220595.180274,-4.7320699999999984
13,37.5,141.5,0.0011111111111111111,-220595.180274,-3.21207
14,38.0,141.0,0.0011111111111111111,-220595.180274,-1.94207
15,38.0,141.5,0.0011111111111111111,-220595.180274,-1.05207
