,latitude,longitude,altitude,secondsFromStart,value
0,38.5,140.5,0.0010526315789473684,-231395.180274,-1.2513
1,38.5,141.0,0.0010526315789473684,-231395.180274,-1.7913
2,39.0,140.5,0.0010526315789473684,-231395.180274,2.3687
3,39.0,141.0,0.0010526315789473684,-231395.180274,0.438696
4,38.5,140.5,0.001081081081081081,-231395.180274,-1.50445
5,38.5,141.0,0.001081081081081081,-231395.180274,-0.0244458
6,39.0,140.5,0.001081081081081081,-231395.180274,2.38555
7,39.0,141.0,0.001081081081081081,-231395.180274,-0.694446
8,38.5,140.5,0.0010526315789473684,-220595.180274,1.25007
9,38.5,141.0,0.0010526315789473684,-220595.180274,0.770071
10,39.0,140.5,0.0010526315789473684,-220595.180274,2.0500700000000003
11,39.0,141.0,0.0010526315789473684,-220595.180274,-1.02993
12,38.5,140.5,0.001081081081081081,-220595.180274,0.8657030000000001
13,38.5,141.0,0.001081081081081081,-220595.180274,-0.784297
14,39.0,140.5,0.001081081081081081,-220595.180274,1.4057
15,39.0,141.0,0.001081081081081081,-220595.180274,-1.5743
